a,b,c,d,e,f,g,h,label
-1,-8,1,-2,-2,-1,-1,0,rest
-1,6,-13,-2,-3,-1,-2,-4,rest
-5,5,12,-1,-1,-1,0,-3,rest
-3,1,13,-1,0,0,0,-7,rest
-5,-9,0,1,1,0,0,-1,rest
4,11,7,0,-1,-1,1,-2,rest
-12,-2,-2,1,0,-1,-1,-11,rest
3,5,1,-1,0,0,1,-3,rest
-2,2,25,-2,-2,0,0,-3,rest
1,-4,45,0,-1,1,-1,0,rest
-2,0,6,0,1,0,1,14,rest
5,21,-18,1,-1,0,0,-2,rest
-1,-3,-1,0,-1,-2,1,0,rest
10,-5,-10,0,-2,-1,-1,-3,rest
-7,-10,-17,-1,-1,0,-1,-7,rest
4,20,0,-1,1,0,3,3,rest
-4,-5,5,-2,-2,-1,0,-2,rest
-2,1,1,1,0,1,0,0,rest
-5,-7,-10,-2,-1,0,2,-4,rest
-1,-2,-31,-3,-3,-3,-2,-3,rest
1,-6,3,-6,-4,-1,-1,-4,rest
1,-3,-12,0,2,-1,1,-4,rest
1,2,-11,3,-2,-2,0,-3,rest
6,-1,1,-5,-3,-1,0,1,rest
0,-15,31,-3,-2,-1,1,-3,rest
-10,-13,-49,-3,-1,-2,0,-18,rest
3,-4,6,-3,-3,-4,0,1,rest
-11,1,11,1,0,-1,-1,-6,rest
-3,-20,-13,-2,-1,0,2,0,rest
0,-9,-9,-1,-2,-1,0,-1,rest
-1,-3,-18,-4,-2,-1,0,-3,rest
-11,-2,-6,6,4,3,0,-4,rest
3,6,-3,-2,-2,-1,1,-11,rest
0,-4,-7,-4,-4,-1,0,2,rest
7,-8,2,7,0,0,0,-3,rest
3,-1,1,-1,-3,-2,1,3,rest
-1,16,-12,-4,-2,0,2,-1,rest
-2,6,-1,4,1,-1,1,1,rest
3,-1,6,-2,-4,-2,-1,-2,rest
-10,-1,2,-4,-3,-1,-1,-4,rest
-2,-8,-9,0,0,1,1,-2,rest
2,13,18,1,0,0,1,2,rest
1,1,-3,-1,-2,-1,0,-5,rest
2,2,12,-2,-3,-1,1,-1,rest
-4,-4,-4,1,0,-1,0,0,rest
1,0,2,-2,-3,-2,1,4,rest
1,-7,18,3,-1,2,1,-2,rest
-7,-11,-35,-10,-5,-4,0,-10,rest
1,5,13,-1,-2,-3,-1,-5,rest
-1,3,-8,2,-1,0,1,-1,rest
-5,4,33,6,1,0,1,-3,rest
14,10,12,2,-1,0,0,5,rest
-3,-4,-19,2,0,0,-2,-1,rest
-1,-2,-36,-6,-1,0,1,0,rest
1,0,19,-5,-3,-3,-2,-1,rest
-4,-5,-12,3,0,0,-1,-2,rest
-4,-2,8,1,-1,1,1,-17,rest
1,5,9,4,0,1,2,2,rest
-3,5,1,-1,-2,0,1,-4,rest
1,0,20,-3,-3,-2,-2,-1,rest
1,-3,6,1,-1,0,0,-1,rest
10,3,-1,-1,-3,-1,0,-1,rest
1,3,-2,0,-1,-1,1,-1,rest
21,27,7,7,4,1,3,0,rest
-7,-14,9,-2,-2,-1,-1,-2,rest
-2,5,-35,-3,-3,-3,-1,-12,rest
-3,-3,-28,-3,0,0,1,4,rest
2,7,-3,2,1,1,1,0,rest
2,3,20,5,0,-1,1,-3,rest
-3,-8,-38,-2,-2,-2,1,-4,rest
5,-1,0,-1,0,0,1,-1,rest
-3,1,-15,-1,-1,-1,0,-2,rest
4,0,5,2,0,1,0,0,rest
-3,-7,-20,-2,0,1,0,-4,rest
-4,-3,1,1,0,0,-1,-10,rest
-2,-2,-30,-6,-2,-2,0,0,rest
1,4,6,-1,-1,-2,-1,-1,rest
3,0,7,0,-2,-2,1,0,rest
-8,-19,-16,-6,-4,-2,-1,-5,rest
7,-3,1,-2,-1,-1,0,-4,rest
-1,1,-1,-1,-2,0,1,-4,rest
-1,-11,-6,1,-2,-1,2,0,rest
2,4,12,-1,-2,-2,-1,1,rest
-3,-4,8,-4,-4,-2,0,-3,rest
-5,4,-1,-1,-2,-1,0,-5,rest
4,5,2,2,1,1,1,2,rest
-1,-8,-6,-1,-1,0,0,-4,rest
2,0,2,-1,0,-1,1,0,rest
-1,-6,-22,-2,-1,-1,2,-4,rest
2,3,31,2,-3,0,0,-1,rest
-2,-6,4,0,-2,-1,0,-4,rest
-2,4,-3,-1,-2,-1,-1,-1,rest
0,5,21,3,-1,0,1,0,rest
-1,3,8,0,1,-1,-1,-2,rest
-6,12,15,1,-1,-1,0,-1,rest
3,15,-1,3,0,0,-1,-3,rest
5,19,4,2,-1,-1,1,0,rest
2,-6,3,0,0,1,1,-2,rest
-1,-9,-2,0,-2,-2,-1,-7,rest
4,8,5,-3,-2,0,0,2,rest
0,-11,14,1,1,1,1,-3,rest
-2,3,-1,-4,0,1,1,0,rest
-3,-4,6,2,1,0,0,-7,rest
-1,4,-4,0,0,-1,1,1,rest
3,0,32,1,-2,-1,1,4,rest
-2,-7,-30,-8,-4,-3,-2,-2,rest
1,-2,-6,1,0,-3,1,-3,rest
-2,-4,-22,-4,-2,-1,-1,-3,rest
-1,4,15,5,2,2,1,-3,rest
1,-9,15,2,1,-1,0,-1,rest
0,-2,0,-1,0,-1,2,2,rest
0,-3,-5,-5,-2,0,1,-1,rest
4,-1,-6,0,-2,-1,2,16,rest
1,-2,36,-1,-2,-2,-1,-6,rest
-11,-4,-22,0,1,0,-1,-12,rest
2,4,0,1,1,0,1,1,rest
0,-10,7,3,1,2,1,-5,rest
4,7,0,-5,-4,-3,1,5,rest
-7,-6,-29,-1,-1,1,1,-5,rest
1,-3,11,-1,-2,-1,-1,0,rest
2,-2,4,1,-1,-2,0,-3,rest
-3,-9,-31,-2,1,0,1,-2,rest
-6,-2,29,0,-1,-2,1,-1,rest
-1,-4,2,-7,-5,-3,-1,-1,rest
-4,-6,1,1,1,-1,0,-4,rest
0,-2,2,-2,-3,-1,0,-1,rest
2,7,21,1,-1,0,0,-3,rest
1,12,-4,-1,-1,0,1,-3,rest
0,4,15,5,0,0,1,-3,rest
-1,-2,-7,0,-1,-1,-1,-7,rest
0,0,9,-7,-2,-2,-1,-2,rest
1,-3,-8,-4,-2,0,1,-2,rest
2,0,8,0,-2,0,1,2,rest
3,-10,17,1,1,-2,-2,-5,rest
-14,-7,-7,-4,-3,-2,-1,-9,rest
-4,-6,-83,-11,-5,-3,0,0,rest
-2,-10,0,-3,0,0,-1,-4,rest
5,3,-6,3,0,0,1,2,rest
8,1,24,1,0,0,0,3,rest
-6,-8,-8,-4,-2,-1,-2,-5,rest
5,0,15,1,-3,-1,3,17,rest
-15,-5,-3,1,1,-1,-1,-11,rest
4,-3,29,-5,-4,-2,0,-1,rest
6,1,-10,-5,-6,-4,-1,-3,rest
6,10,6,2,0,-1,1,3,rest
-3,-15,-23,-6,-1,-1,0,-3,rest
4,-4,-7,-3,-1,-1,0,-3,rest
3,10,0,1,0,0,0,0,rest
-2,-4,13,1,0,-1,-1,0,rest
0,4,-17,0,-1,-1,1,-3,rest
-2,-1,-21,-1,-1,-1,0,-2,rest
2,-5,4,2,0,0,2,-3,rest
-4,-9,-9,-3,0,1,0,-2,rest
5,1,23,7,1,0,2,16,rest
-3,-8,-1,-3,-2,0,0,-5,rest
-2,-7,1,-1,-2,-1,0,-8,rest
-12,-11,-23,-3,-1,0,0,-2,rest
3,2,3,-1,0,2,1,2,rest
-2,-14,-15,-5,-3,-2,0,-3,rest
-1,-7,18,-5,-2,-2,0,-1,rest
0,-3,-20,-3,0,-1,0,-4,rest
-1,-3,-7,-4,-1,-1,-2,-3,rest
6,-2,-5,1,-2,-1,0,2,rest
-4,-7,-2,-3,0,1,0,-4,rest
5,8,22,6,1,1,2,2,rest
-2,-2,8,-1,-2,-1,1,0,rest
0,-7,2,-4,-3,-1,-1,-5,rest
-2,-7,-22,-4,0,-1,1,-4,rest
-2,-3,-39,-11,-6,-4,-1,-1,rest
-4,-3,4,2,0,0,0,-2,rest
-6,2,-2,1,0,-1,1,1,rest
-2,-5,3,-1,-3,-1,-1,-5,rest
3,-8,-10,0,-2,-2,1,2,rest
1,2,15,0,-1,0,0,2,rest
1,-2,-22,-1,-2,-1,1,5,rest
-3,-2,1,3,2,2,0,-8,rest
1,1,-25,1,-1,-1,1,-1,rest
4,1,6,-1,-2,-1,0,-3,rest
3,6,67,2,2,0,1,-1,rest
2,4,3,1,-1,0,0,0,rest
1,1,-21,0,-1,-1,0,-2,rest
2,13,3,2,-1,1,3,2,rest
-4,-2,12,4,0,1,-1,-2,rest
-3,-6,-8,-3,-1,1,1,-3,rest
1,3,-18,1,0,0,2,3,rest
0,0,-14,-2,-2,0,0,1,rest
-5,-15,6,3,2,2,0,-3,rest
0,8,26,3,0,1,1,-3,rest
3,3,25,-1,-1,0,1,6,rest
-1,-11,-13,-1,-1,0,0,-3,rest
6,13,11,3,0,-1,2,-2,rest
